OBJECTID,HYDRO_NAME,RIVER,HYDRO_STAT,CONTR_BEGI,RES_FILL,OPER_DATE,PROD_APPRO,PROD_FISC,AREA_RESER,AREA_FLOOD,MUNIC_CODE,MUNICIP,MUNIC_STAT,LAT,LON,NEAR_FID,NEAR_DIST,NEAR_FC
1,Balbina,Uatumã,AM,1977,1987,2/20/1989 0:00,"250,000","249,750","4,437.72","4,418.08",1303536,Presidente Figueiredo,AM,-1.9154,-59.4729,310,0,All_UCs
2,Balbina,Uatumã,AM,1977,1987,2/20/1989 0:00,"250,000","249,750","4,437.72",19.64,1304302,Urucará,AM,-1.9154,-59.4729,310,0,All_UCs
3,Coaracy Nunes,Araguari,AP,1967,1975,12/30/1975 0:00,"78,000","76,952",30.37,30.37,1600238,Ferreira Gomes,AP,0.9035,-51.2588,1268,551.0578809,All_UCs
4,Curuá-Una,Curuá-Una,PA,1968,1977,1/1/1977 0:00,"30,300","30,300",106.25,106.25,1506807,Santarém,PA,-2.8112,-54.2985,1075,66449.67338,All_UCs
5,Dardanelos,Aripuanã,MT,2007,2011,8/9/2011 0:00,"261,000","261,000",0,0,5101407,Aripuanã,MT,-10.1629,-59.4638,686,93596.96012,All_UCs
6,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,94.69,1703008,Babaçulândia,TO,-6.5872,-47.4594,111,35517.75857,All_UCs
7,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,47.78,1703073,Barra do Ouro,TO,-6.5872,-47.4594,111,35517.75857,All_UCs
8,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,39.04,1706506,Darcinópolis,TO,-6.5872,-47.4594,111,35517.75857,All_UCs
9,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,114.44,1707702,Filadélfia,TO,-6.5872,-47.4594,111,35517.75857,All_UCs
10,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,15,1709005,Goiatins,TO,-6.5872,-47.4594,111,35517.75857,All_UCs
11,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,15.24,1710904,Itapiratins,TO,-6.5872,-47.4594,111,35517.75857,All_UCs
12,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,25.45,1715705,Palmeirante,TO,-6.5872,-47.4594,111,35517.75857,All_UCs
13,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,28.02,1713809,Palmeiras do Tocantins,TO,-6.5872,-47.4594,111,35517.75857,All_UCs
14,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,0.89,1721307,Tupiratins,TO,-6.5872,-47.4594,111,35517.75857,All_UCs
15,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,206.43,2102804,Carolina,MA,-6.5872,-47.4594,111,35517.75857,All_UCs
16,Estreito,Tocantins,MA,2007,2010,4/29/2011 0:00,"1,087,000","1,087,000",635.83,48.85,2104057,Estreito,MA,-6.5872,-47.4594,111,35517.75857,All_UCs
17,Ferreira Gomes,Araguari,AP,2011,0,11/4/2014 0:00,"252,000","168,000",17.72,17.72,1600238,Ferreira Gomes,AP,0.8524,-51.1996,1268,291.6170697,All_UCs
18,Guaporé,Guaporé,MT,2001,2002,4/8/2003 0:00,"120,000","124,200",5.09,0,5106752,Pontes e Lacerda,MT,-15.1234,-58.9643,168,69373.23698,All_UCs
19,Guaporé,Guaporé,MT,2001,2002,4/8/2003 0:00,"120,000","124,200",5.09,5.09,5108352,Vale de São Domingos,MT,-15.1234,-58.9643,168,69373.23698,All_UCs
20,Itiquira (Casas de Forças I e II),Itiquira,MT,1998,2002,11/6/2002 0:00,"157,770","156,000",3.71,3.71,5104609,Itiquira,MT,-17.0902,-54.8303,1217,47188.26595,All_UCs
21,Jauru,Jauru,MT,2000,2002,6/6/2003 0:00,"121,500","121,500",4.62,0.1,5101258,Araputanga,MT,-15.2351,-58.7274,168,77285.16333,All_UCs
22,Jauru,Jauru,MT,2000,2002,6/6/2003 0:00,"121,500","121,500",4.62,2.13,5104500,Indiavaí,MT,-15.2351,-58.7274,168,77285.16333,All_UCs
23,Jauru,Jauru,MT,2000,2002,6/6/2003 0:00,"121,500","121,500",4.62,2.39,5105002,Jauru,MT,-15.2351,-58.7274,168,77285.16333,All_UCs
24,Jirau,Madeira,RO,2010,2012,9/6/2013 0:00,"3,750,000","2,100,000",574.92,574.92,1100205,Porto Velho,RO,-9.3307,-64.734,1258,556.2431523,All_UCs
25,Juba I,Juba,MT,1989,1995,11/10/1995 0:00,"42,000","42,000",0.92,0.65,5101704,Barra do Bugres,MT,-14.7479,-58.0735,1428,124919.9095,All_UCs
26,Juba I,Juba,MT,1989,1995,11/10/1995 0:00,"42,000","42,000",0.92,0.26,5107958,Tangará da Serra,MT,-14.7479,-58.0735,1428,124919.9095,All_UCs
27,Juba II,Juba,MT,1990,1995,8/16/1995 0:00,"42,000","42,000",2.78,2.24,5101704,Barra do Bugres,MT,-14.7556,-58.0227,1428,120333.5523,All_UCs
28,Juba II,Juba,MT,1990,1995,8/16/1995 0:00,"42,000","42,000",2.78,0.54,5107958,Tangará da Serra,MT,-14.7556,-58.0227,1428,120333.5523,All_UCs
29,Luís Eduardo Magalhães (Lajeado),Tocantins,TO,1998,2001,12/1/2001 0:00,"902,500","902,500",703.95,45.63,1703701,Brejinho de Nazaré,TO,-9.7572,-48.3714,1251,1048.710746,All_UCs
30,Luís Eduardo Magalhães (Lajeado),Tocantins,TO,1998,2001,12/1/2001 0:00,"902,500","902,500",703.95,24.5,1709807,Ipueiras,TO,-9.7572,-48.3714,1251,1048.710746,All_UCs
31,Luís Eduardo Magalhães (Lajeado),Tocantins,TO,1998,2001,12/1/2001 0:00,"902,500","902,500",703.95,29.84,1712009,Lajeado,TO,-9.7572,-48.3714,1251,1048.710746,All_UCs
32,Luís Eduardo Magalhães (Lajeado),Tocantins,TO,1998,2001,12/1/2001 0:00,"902,500","902,500",703.95,74.47,1713205,Miracema do Tocantins,TO,-9.7572,-48.3714,1251,1048.710746,All_UCs
33,Luís Eduardo Magalhães (Lajeado),Tocantins,TO,1998,2001,12/1/2001 0:00,"902,500","902,500",703.95,179.43,1721000,Palmas,TO,-9.7572,-48.3714,1251,1048.710746,All_UCs
34,Luís Eduardo Magalhães (Lajeado),Tocantins,TO,1998,2001,12/1/2001 0:00,"902,500","902,500",703.95,350.07,1718204,Porto Nacional,TO,-9.7572,-48.3714,1251,1048.710746,All_UCs
35,Manso,Manso,MT,1988,2000,11/29/2000 0:00,"210,000","210,900",401.8,340.01,5103007,Chapada dos Guimarães,MT,-14.874,-55.7854,939,24372.84969,All_UCs
36,Manso,Manso,MT,1988,2000,11/29/2000 0:00,"210,000","210,900",401.8,61.79,5106208,Nova Brasilândia,MT,-14.874,-55.7854,939,24372.84969,All_UCs
37,Peixe Angical,Tocantins,TO,2002,2006,6/27/2006 0:00,"498,750","498,750",318.45,186.23,1716208,Paranã,TO,-12.2391,-48.3824,42,0,All_UCs
38,Peixe Angical,Tocantins,TO,2002,2006,6/27/2006 0:00,"498,750","498,750",318.45,24.46,1716604,Peixe,TO,-12.2391,-48.3824,42,0,All_UCs
39,Peixe Angical,Tocantins,TO,2002,2006,6/27/2006 0:00,"498,750","498,750",318.45,107.76,1720259,São Salvador do Tocantins,TO,-12.2391,-48.3824,42,0,All_UCs
40,Ponte de Pedra,Correntes,MT,2001,2004,7/19/2005 0:00,"176,100","176,100",15.62,7.32,5104609,Itiquira,MT,-17.6098,-54.8266,1405,45321.49456,All_UCs
41,Rondon II,Comemoração,RO,2006,2009,3/31/2011 0:00,"73,500","73,500",75.87,75.87,1100189,Pimenta Bueno,RO,-11.997,-60.6968,1009,105600.4248,All_UCs
42,Samuel,Jamari,RO,1982,1988,7/17/1989 0:00,"216,750","216,750",679.51,23.59,1100403,Alto Paraíso,RO,-8.7512,-63.4539,1459,21036.23587,All_UCs
43,Samuel,Jamari,RO,1982,1988,7/17/1989 0:00,"216,750","216,750",679.51,423.64,1100809,Candeias do Jamari,RO,-8.7512,-63.4539,1459,21036.23587,All_UCs
44,Samuel,Jamari,RO,1982,1988,7/17/1989 0:00,"216,750","216,750",679.51,2.03,1100940,Cujubim,RO,-8.7512,-63.4539,1459,21036.23587,All_UCs
45,Samuel,Jamari,RO,1982,1988,7/17/1989 0:00,"216,750","216,750",679.51,230.26,1101104,Itapuã do Oeste,RO,-8.7512,-63.4539,1459,21036.23587,All_UCs
46,Santo Antônio,Madeira,RO,2008,2011,3/30/2012 0:00,"3,150,400","2,286,080",518.82,518.82,1100205,Porto Velho,RO,-8.8007,-63.9493,1288,0,All_UCs
47,Santo Antônio do Jari,Jari,AP,2009,2014,9/17/2014 0:00,"373,400","373,400",31.7,17.99,1500503,Almeirim,PA,-0.6496,-52.5163,835,15461.65794,All_UCs
48,Santo Antônio do Jari,Jari,AP,2009,2014,9/17/2014 0:00,"373,400","373,400",31.7,21.15,1600279,Laranjal do Jari,AP,-0.6496,-52.5163,835,15461.65794,All_UCs
49,São Salvador,Tocantins,TO,2006,2008,8/6/2009 0:00,"243,200","243,200",99.66,44.51,1715754,Palmeirópolis,TO,-12.8098,-48.2393,628,0,All_UCs
50,São Salvador,Tocantins,TO,2006,2008,8/6/2009 0:00,"243,200","243,200",99.66,45.22,1716208,Paranã,TO,-12.8098,-48.2393,628,0,All_UCs
51,São Salvador,Tocantins,TO,2006,2008,8/6/2009 0:00,"243,200","243,200",99.66,3.71,1720259,São Salvador do Tocantins,TO,-12.8098,-48.2393,628,0,All_UCs
52,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",238.33,1501782,Breu Branco,PA,-3.8318,-49.6519,354,0,All_UCs
53,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",546.18,1503093,Goianésia do Pará,PA,-3.8318,-49.6519,354,0,All_UCs
54,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",154.9,1503705,Itupiranga,PA,-3.8318,-49.6519,354,0,All_UCs
55,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",342.48,1503804,Jacundá,PA,-3.8318,-49.6519,354,0,All_UCs
56,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",43.57,1504208,Marabá,PA,-3.8318,-49.6519,354,0,All_UCs
57,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",124.91,1504976,Nova Ipixuna,PA,-3.8318,-49.6519,354,0,All_UCs
58,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29","1,441.30",1505064,Novo Repartimento,PA,-3.8318,-49.6519,354,0,All_UCs
59,Tucuruí I e II,Tocantins,PA,1975,1984,12/30/1984 0:00,"8,535,000","8,535,000","3,513.29",621.62,1508100,Tucuruí,PA,-3.8318,-49.6519,354,0,All_UCs
